ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6042,"2014",2461,406,"Ames, IA","16000US1901855","ames-ia","Native Born",0.040162543246948235
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6042,"2014",2402,448,"Ames, IA","16000US1901855","ames-ia","Native Born",0.039199686663620344
3,"Foreign Born",0,"Under 5 Years",2014,"2014",65,45,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0010607742019714081
3,"Foreign Born",1,"5 to 17 Years",2014,"2014",404,144,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.006593119655329983
3,"Foreign Born",2,"18 to 24 Years",2014,"2014",2831,229,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.04620079639663163
3,"Foreign Born",3,"25 to 34 Years",2014,"2014",1788,219,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.02917945035576735
3,"Foreign Born",4,"35 to 44 Years",2014,"2014",1032,234.00000000000003,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.01684183040668451
3,"Foreign Born",5,"45 to 54 Years",2014,"2014",498,182,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.00812716234741171
3,"Foreign Born",6,"55 to 59 Years",2014,"2014",147,70,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0023989816567661073
3,"Foreign Born",7,"60 & 61 Years",2014,"2014",103,65,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0016809191200470005
3,"Foreign Born",8,"62 to 64 Years",2014,"2014",116,70,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0018930739604412822
3,"Foreign Born",9,"65 to 74 Years",2014,"2014",174,62,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.002839610940661923
3,"Foreign Born",10,"75 Years & Over",2014,"2014",50,33,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0008159801553626215
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6039,"2013",2337,316,"Ames, IA","16000US1901855","ames-ia","Native Born",0.038841244515357
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6039,"2013",5260,769,"Ames, IA","16000US1901855","ames-ia","Native Born",0.08742188538758144
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6039,"2013",22767,1175,"Ames, IA","16000US1901855","ames-ia","Native Born",0.3783905065815716
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6039,"2013",6890,798,"Ames, IA","16000US1901855","ames-ia","Native Born",0.11451269777955059
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6039,"2013",3610,513,"Ames, IA","16000US1901855","ames-ia","Native Born",0.059998670389575855
