ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2015,"2015","04000US19","Iowa",643,194.20865068271289,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2015,"2015","04000US19","Iowa",597,162.08639671483846,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2015,"2015","04000US19","Iowa",1361,286.7141433553636,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2015,"2015","04000US19","Iowa",779,194.58931111445975,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2015,"2015","04000US19","Iowa",500,169.8499337650739,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2014,"2014","04000US19","Iowa",2351,316.5880604192142,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2014,"2014","04000US19","Iowa",1208,228.80559433720146,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2014,"2014","04000US19","Iowa",1109,250.66710992868607,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2014,"2014","04000US19","Iowa",1042,244.85914318236107,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2014,"2014","04000US19","Iowa",1435,301.5327511233233,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2014,"2014","04000US19","Iowa",1136,299.8032688280766,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2014,"2014","04000US19","Iowa",157,59.413803110051795,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2014,"2014","04000US19","Iowa",5560,563.498003545709,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2014,"2014","04000US19","Iowa",1014,256.6028059082753,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2014,"2014","04000US19","Iowa",983,209.6950166312972,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2014,"2014","04000US19","Iowa",379,129.72663566130126,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2014,"2014","04000US19","Iowa",621,196.98730923589974,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2014,"2014","04000US19","Iowa",2551,442.9954853043087,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2014,"2014","04000US19","Iowa",926,206.70026608594387,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2014,"2014","04000US19","Iowa",1337,281.9024654024863,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2014,"2014","04000US19","Iowa",253,89.44271909999159,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2014,"2014","04000US19","Iowa",251,105.0047617967871,"Ames, IA","16000US1901855","ames-ia"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2014,"2014","04000US19","Iowa",2745,373.7378760575385,"Ames, IA","16000US1901855","ames-ia"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2014,"2014","04000US19","Iowa",4190,565.7596662894942,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2014,"2014","04000US19","Iowa",494,207.79316639389276,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2014,"2014","04000US19","Iowa",635,160.72336482291553,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2014,"2014","04000US19","Iowa",628,193.3959668659096,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2014,"2014","04000US19","Iowa",1265,308.0064934380443,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2014,"2014","04000US19","Iowa",746,202.83244316430248,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2014,"2014","04000US19","Iowa",639,259.51493213300853,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2013,"2013","04000US19","Iowa",2344,296.2110733919311,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2013,"2013","04000US19","Iowa",1076,200.32473636573192,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2013,"2013","04000US19","Iowa",1232,279.4011453090341,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2013,"2013","04000US19","Iowa",805,188.74321179846442,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2013,"2013","04000US19","Iowa",1420,280.8932181452589,"Ames, IA","16000US1901855","ames-ia"
